#,# of nodes,Depth,Accuracy,TPR,TNR,PPV,NPV
 81,163, 15,0.6429,0.3750,0.7500,0.3750,0.7500,
 82,153, 16,0.7143,0.7500,0.7000,0.5000,0.8750,
 83,155, 16,0.7143,0.4375,0.8250,0.5000,0.7857,
 84,159, 16,0.6964,0.6250,0.7250,0.4762,0.8286,
 85,177, 15,0.6786,0.5625,0.7250,0.4500,0.8056,
 86,143, 16,0.6429,0.6250,0.6500,0.4167,0.8125,
 87,161, 15,0.6964,0.4375,0.8000,0.4667,0.7805,
 88,157, 14,0.6607,0.2500,0.8250,0.3636,0.7333,
 89,145, 16,0.6071,0.4375,0.6750,0.3500,0.7500,
 90,153, 15,0.7143,0.5000,0.8000,0.5000,0.8000,
 91,149, 14,0.5893,0.4375,0.6500,0.3333,0.7429,
 92,157, 13,0.6250,0.2500,0.7750,0.3077,0.7209,
 93,165, 16,0.6429,0.4375,0.7250,0.3889,0.7632,
 94,157, 17,0.7143,0.4375,0.8250,0.5000,0.7857,
 95,161, 15,0.6607,0.2500,0.8250,0.3636,0.7333,
 96,165, 14,0.6429,0.3750,0.7500,0.3750,0.7500,
 97,153, 15,0.5893,0.2500,0.7250,0.2667,0.7073,
 98,155, 18,0.5893,0.4375,0.6500,0.3333,0.7429,
 99,161, 13,0.6607,0.5625,0.7000,0.4286,0.8000,
